,author_id,id,created_at,text
14,826961003103416320,1244866030981255168,2020-03-31T05:56:04.000Z,@tedlieu @martfluck @PrakritiGaba @Fxhedgers You fucking communist! Are you seriously quoting China???? Referencing the same country that caused this pandemic??? WTF is wrong with you?? #ChinaLiedPeopleDied #ChinaVirus #WuhanVirus #FuckChina
15,50577324,1220389830061805568,2020-01-23T16:56:23.000Z,"China please stop eating so much animals and especially the animals that should not be eaten bats, snakes, cats, dogs etc. #Wuhan #caronavirus #WuhanCoronavirus #WuhanOutbreak #wuhanvirus #WuhanLockDown"
16,1208800343762489345,1241243300872388610,2020-03-21T06:00:38.000Z,"@jixiaoxu427 @Beingsajiddarr @zlj517 Rubbish Chinese have been eating weird animals including dogs,bats,cats,insects,frog, pigs and finally transmitted this virus to human!
Now these minnow Chinese create threat to whole world!
Shame"
17,1229730867397840897,1246418704633479168,2020-04-04T12:45:51.000Z,"This is inside a Chinese wet market. Dogs are pets you sick motherfuckers, pets, not fucking food.

#China #ChinaLiedPeopleDied https://t.co/IcdMg4OG4A"
18,1195047329524355072,1251220053862739969,2020-04-17T18:44:42.000Z,@globaltimesnews #CCP refuses transparency and is known to be compulsive liars. Their version of the truth is communist propaganda with Chinese characteristics. #ChinaLiedPeopleDied https://t.co/uuBjpdCpIE
19,395118274,1240826133504983041,2020-03-20T02:22:58.000Z,@ChrisJZullo @realDonaldTrump The Chinese virus was hidden by Winnie the Pooh and CCP. Fuck the Chinese government
20,953430536839749632,1246425252197957638,2020-04-04T13:11:52.000Z,"@robert_spalding #CCP the communist Chinese regime has long using Twitter &amp; all other social media platforms for proliferating their ideology &amp; propaganda to the public in States and around the world 🌎🌍 It’s time for US making a lead to the world on shutting down #China 

#ChinaLiedPeopleDied"
21,1081539792779788289,1244583422472916993,2020-03-30T11:13:05.000Z,"@zlj517 please stop eating dogs, cats, bats, pangolins, it’s bad for the rest of the planet. Also - stop lying about literally everything. Your deceit has cost the rest of the world a lot. We won’t soon forget. 

#ChinaLiedPeopleDied #ChineseVirus #WuhanVirus https://t.co/CBJecKCfk0"
22,4861448491,1225395599001997312,2020-02-06T12:27:32.000Z,Take all animals out of China. https://t.co/2l6CZGSpXJ
23,973025903008628737,1242491033801261061,2020-03-24T16:38:41.000Z,"@GReschenthaler @hkerdede The Chinese Communist Party is the one who spreads the #CCPVirus to the whole world and try to turn others’ crisis into their own opportunity. What an evil regime! They have been using this against the Chinese people for 70 years, now they are using this against the whole world."
24,1222073038541180928,1247714906062958594,2020-04-08T02:36:29.000Z,"@rhrjr @BurgerDiplomacy @MeetThePress and who would believe that the first date reported by China was the ACTUAL first date recorded by them. They knew about human to human transmission in November!!! 
#ChinaLiedPeopleDied #ChineseBioterrorism #chinesewuhanvirus #WuhanVirus #CCPVirus"
25,195546923,1223659162552487937,2020-02-01T17:27:33.000Z,"@no_silenced Chinese do eat weird stuff because China does not have enough land to feed their own, hence the eating of weird stuff. They rely on other countries for food. We still have an abundance of food sources. Once that starts drying up, we may find ourselves eating weird stuff. GBP"
26,1210567119252836352,1227438817285677056,2020-02-12T03:46:33.000Z,@PrisonPlanet Killing dogs and eating them for some reason is normal in china especially in the provinces.
27,2193679535,1242793903557947392,2020-03-25T12:42:11.000Z,"@statedeptspox @SpokespersonCHN China just managed to destroy the global society, for better or worse
#FuckChina
#ChinaLiedPeopleDied"
28,1134653298395549696,1247199982580465664,2020-04-06T16:30:22.000Z,@StateDept @realDonaldTrump Chinese Communist Party made this virus and sent it to all over the world for controlling the world! Terminate CCP and communism ONCE FOR ALL!
29,389511111,1240361049397723137,2020-03-18T19:34:53.000Z,"China Communist is a fucking Liar!
#ChinaLiedPeopleDied #WuhanVirus #ChineseVirus Why there are so many stupid Westerners trust the fucking China! They are the emery of the world and to human!"
30,1215496597230039040,1246042219389353984,2020-04-03T11:49:50.000Z,"China that not only had published false data of infected cases and deaths in the Wuhan and mainland, but also exporting faulty testing kits and face masks to other countries.

China = Fraud.

#CCPVirus_Coronavirus 
#ChineseWuhanVirus 
#ChinaLiedPeopleDied 
#ChineseVirus"
